work_order,lot,work_center,mo_id,real_duration,status,qc_fail,product_type,date_finished,week,year,month,prod_name,prod_number
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000317,[WC-E030] Laser Calibration Rig,MO/03126,7180.75,done,Yes,Engine,2020-09-14 03:39:00.446939,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000317,[WC-E080] Engine Performance Rig,MO/03126,0.07,done,,Engine,2020-09-16 22:27:45.038217,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - EFT2,1003895-000-0000000317,[WC-E090] Engine Performance Rig,MO/03126,0.13,done,,Engine,2020-09-16 22:25:31.626326,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000287,[WC-E060] APD Calibration Rig,MO/03086,0.57,done,,Engine,2020-08-12 21:48:23.294472,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000287,[WC-E010] Engine Code Load Rig,MO/03086,5.33,done,,Engine,2020-08-12 05:05:34.522899,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000287,[WC-E080] Engine Performance Rig,MO/03086,102.02,done,,Engine,2020-08-17 00:58:59.685073,34.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000287,[WC-E070] Engine Assembly Station,MO/03086,150.36,done,,Engine,2020-08-13 02:17:12.689616,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000287,[WC-E020] Top Engine Assembly Station,MO/03086,0.88,done,,Engine,2020-08-12 05:06:54.667757,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000287,[WC-E080] Engine Performance Rig,MO/03086,3896.59,done,,Engine,2020-08-16 22:03:52.469727,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000287,[WC-E030] Laser Calibration Rig,MO/03086,1.11,done,,Engine,2020-08-12 21:47:19.693883,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000287,[WC-E030] Laser Calibration Rig,MO/03086,995.2,done,,Engine,2020-08-12 21:46:05.644677,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000287,[WC-E080] Engine Performance Rig,MO/03086,63.28,done,,Engine,2020-08-16 23:15:56.084595,33.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000285,[WC-E060] APD Calibration Rig,MO/03040,974.95,done,,Engine,2020-07-22 21:47:34.229398,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000285,[WC-E010] Engine Code Load Rig,MO/03040,9.72,done,,Engine,2020-07-22 00:54:52.053789,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000285,[WC-E080] Engine Performance Rig,MO/03040,1498.35,done,,Engine,2020-07-27 22:48:08.978092,31.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000285,[WC-E070] Engine Assembly Station,MO/03040,0.48,done,,Engine,2020-07-22 23:27:20.480820,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000285,[WC-E020] Top Engine Assembly Station,MO/03040,1.62,done,,Engine,2020-07-22 00:56:35.244127,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000285,[WC-E080] Engine Performance Rig,MO/03040,1489.55,done,Yes,Engine,2020-07-24 04:56:03.522475,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000285,[WC-E030] Laser Calibration Rig,MO/03040,87.99000000000001,done,,Engine,2020-07-22 05:27:43.166289,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000285,[WC-E030] Laser Calibration Rig,MO/03040,79.44,done,Yes,Engine,2020-07-22 02:06:17.290136,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[MZT-0004] MZ Tuning - Angeros 2CH,1003895-000-0000000285,[WC-E080] Engine Performance Rig,MO/03040,0.04,done,,Engine,2020-07-23 01:20:09.723903,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000285,[WC-E080] Engine Performance Rig,MO/03040,0.14,done,,Engine,2020-07-24 04:56:28.687992,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000284,[WC-E060] APD Calibration Rig,MO/03059,1289.94,done,,Engine,2020-08-03 22:58:32.897837,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000284,[WC-E010] Engine Code Load Rig,MO/03059,0.2,done,,Engine,2020-08-02 22:21:07.633349,31.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000284,[WC-E080] Engine Performance Rig,MO/03059,100.31,done,,Engine,2020-08-04 03:21:33.847067,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000284,[WC-E070] Engine Assembly Station,MO/03059,0.41,done,,Engine,2020-08-03 22:59:01.711454,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000284,[WC-E020] Top Engine Assembly Station,MO/03059,0.71,done,,Engine,2020-08-02 22:21:56.150168,31.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000284,[WC-E080] Engine Performance Rig,MO/03059,72.75999999999999,done,,Engine,2020-08-04 00:14:51.908883,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000284,[WC-E030] Laser Calibration Rig,MO/03059,68.72999999999999,done,,Engine,2020-08-03 01:28:30.985596,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000284,[WC-E030] Laser Calibration Rig,MO/03059,96.01,done,,Engine,2020-08-02 23:58:32.563785,31.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[MZT-0004] MZ Tuning - Angeros 2CH,1003895-000-0000000284,[WC-E080] Engine Performance Rig,MO/03059,0.04,done,,Engine,2020-08-03 23:03:30.086562,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000284,[WC-E080] Engine Performance Rig,MO/03059,84.23,done,,Engine,2020-08-04 01:40:31.756952,32.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000231,[WC-E060] APD Calibration Rig,MO/03114,0.5,done,,Engine,2020-09-01 23:55:52.460762,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000231,[WC-E060] APD Calibration Rig,MO/03027,1.35,done,,Engine,2020-07-16 02:09:50.098768,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000231,[WC-E010] Engine Code Load Rig,MO/03114,33.62,done,,Engine,2020-08-31 03:34:04.064528,36.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000231,[WC-E010] Engine Code Load Rig,MO/03027,0.2,done,,Engine,2020-07-16 02:03:16.773619,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03114,1.99,done,Yes,Engine,2020-09-02 21:48:46.267178,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03027,11428.02,done,Yes,Engine,2020-07-20 03:42:48.769609,30.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000231,[WC-E070] Engine Assembly Station,MO/03114,0.38,done,,Engine,2020-09-01 23:56:19.925335,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000231,[WC-E070] Engine Assembly Station,MO/03027,0.48,done,,Engine,2020-07-16 02:10:24.009127,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000231,[WC-E020] Top Engine Assembly Station,MO/03114,1.06,done,,Engine,2020-08-31 04:04:42.838258,36.0,2020.0,August   ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000231,[WC-E020] Top Engine Assembly Station,MO/03027,1.03,done,,Engine,2020-07-16 02:04:25.519764,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03114,48.04,done,Yes,Engine,2020-09-02 01:28:45.078823,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03027,65.49000000000001,done,Yes,Engine,2020-07-16 03:29:41.951719,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000231,[WC-E030] Laser Calibration Rig,MO/03027,2.29,done,,Engine,2020-07-16 02:08:23.030124,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000231,[WC-E030] Laser Calibration Rig,MO/03114,0.53,done,,Engine,2020-09-01 23:54:06.972281,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000231,[WC-E030] Laser Calibration Rig,MO/03027,0.58,done,,Engine,2020-07-16 02:05:35.017731,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000231,[WC-E030] Laser Calibration Rig,MO/03114,987.58,done,,Engine,2020-09-01 23:53:12.231240,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[MZT-0004] MZ Tuning - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03027,0.06,done,,Engine,2020-07-16 02:10:31.965869,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03027,55.35,done,,Engine,2020-07-16 04:26:34.210442,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000231,[WC-E080] Engine Performance Rig,MO/03114,49.05,done,,Engine,2020-09-02 02:17:52.706011,36.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03358,1184.6100000000001,done,,Sensor Head,2020-12-09 00:56:02.503626,50.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03194,2394.64,done,,Sensor Head,2020-10-29 20:55:50.514439,44.0,2020.0,October  ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03932,0.12,done,,Sensor Head,2021-06-10 22:04:29.604089,23.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03815,4071.63,done,,Sensor Head,2021-05-02 21:43:23.002044,17.0,2021.0,May      ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03364,1172.1399999999999,done,,Sensor Head,2020-12-10 00:42:25.586744,50.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/04198,0.07,done,,Sensor Head,2021-10-27 21:24:47.253217,43.0,2021.0,October  ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03393,1398.79,done,,Sensor Head,2020-12-16 23:42:43.041210,51.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03664,1146.98,done,,Sensor Head,2021-03-16 23:56:08.809356,11.0,2021.0,March    ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03123,305.44,done,,Sensor Head,2020-09-07 03:10:00.752905,37.0,2020.0,September,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/04263,0.06,done,,Sensor Head,2021-12-13 22:46:56.377829,50.0,2021.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03091,1040.55,done,,Sensor Head,2020-08-13 22:11:58.538883,33.0,2020.0,August   ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03977,0.05,done,,Sensor Head,2021-06-21 22:08:44.057344,25.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/04317,0.06,done,,Sensor Head,2022-02-13 22:21:49.767447,6.0,2022.0,February ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/04100,185.39,done,,Sensor Head,2021-08-10 01:16:07.968802,32.0,2021.0,August   ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Baking,1001354-005-0000000001,[WC-SH140] Environmental Stress Thermal Oven,MO/03579,0.3,done,,Sensor Head,2021-02-17 21:16:33.227647,7.0,2021.0,February ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03358,0.32,done,,Sub Assem,2020-12-08 05:10:21.053091,50.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/04263,0.15,done,,Sub Assem,2021-12-13 22:46:33.929955,50.0,2021.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03932,183.05,done,,Sub Assem,2021-06-10 02:04:11.445562,23.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03579,0.15,done,,Sub Assem,2021-02-17 03:21:07.471700,7.0,2021.0,February ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/04198,0.16,done,,Sub Assem,2021-10-27 21:24:30.436282,43.0,2021.0,October  ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03815,190.52,done,,Sub Assem,2021-04-30 01:51:05.956354,17.0,2021.0,April    ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03091,0.54,done,,Sub Assem,2020-08-13 01:44:50.348570,33.0,2020.0,August   ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03123,0.18,done,,Sub Assem,2020-09-06 22:04:21.391892,36.0,2020.0,September,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03393,0.29,done,,Sub Assem,2020-12-16 00:22:43.985388,51.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03364,0.17,done,,Sub Assem,2020-12-09 03:40:51.674729,50.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/04100,0.19,done,,Sub Assem,2021-08-09 06:15:27.667784,32.0,2021.0,August   ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03194,0.28,done,,Sub Assem,2020-10-28 05:01:00.346409,44.0,2020.0,October  ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03664,58.51,done,,Sub Assem,2021-03-16 03:47:12.350127,11.0,2021.0,March    ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/03977,141.97,done,,Sub Assem,2021-06-21 05:54:18.459709,25.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Bearing Cleaning and Lubrication,1001354-005-0000000001,[WC-SUB110] Bearing Cleaning and Lubrication,MO/04317,0.14,done,,Sub Assem,2022-02-11 04:34:45.935148,6.0,2022.0,February ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Component Drying,1001354-005-0000000001,[WC-SUB120] Component Drying,MO/03815,0.38,done,,Sub Assem,2021-04-30 01:51:33.064788,17.0,2021.0,April    ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Component Drying,1001354-005-0000000001,[WC-SUB120] Component Drying,MO/03358,0.14,done,,Sub Assem,2020-12-08 05:10:35.310223,50.0,2020.0,December ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Component Drying,1001354-005-0000000001,[WC-SUB120] Component Drying,MO/03977,0.11,done,,Sub Assem,2021-06-21 22:08:32.215110,25.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
Component Drying,1001354-005-0000000001,[WC-SUB120] Component Drying,MO/03932,0.03,done,,Sub Assem,2021-06-10 02:04:16.658957,23.0,2021.0,June     ,CMP:MEC:GOKU:MOTOR:BEARING:ROLLER:METAL:BAKED,1001354-005
