eco,description,stage,eco_on,effectivity_date,effectivity,create_date,last_updated_date
DA0127,GOKU3 Lens Failed the Directivity Spec,Refused,product,,asap,2020-06-26 03:06:13.794774,2021-05-07 08:37:36.833188
DA1910,Off-road Engine #448 marginally failed at Link Budget after EFT,New Deviation,product,,asap,2022-02-27 21:20:31.533871,2022-06-09 23:31:43.305248
DA0097,Different PM Fibre Length of Fibre Array,Closed,bom,,asap,2020-06-26 03:04:24.311970,2021-05-07 08:37:36.833188
ECO0090," Update of specs for P1, P2, G1, G2, G3, Fiber array + PBS assembly ",Refused,bom,,asap,2020-06-26 03:04:10.541223,2021-05-07 08:37:36.833188
DA1859,Lift BD system with diamond fiber pigtails,Closed,product,,asap,2021-07-20 00:03:24.660370,2021-10-20 20:10:52.635401
DA1905,To Ship Off-Road System #17,Closed,product,,asap,2022-01-13 23:40:31.838589,2022-01-18 03:49:49.163582
DA1931,Allow to ship Off-Road SYS#24 to FMG,Closed,product,,asap,2022-06-23 04:47:26.177951,2022-06-28 01:30:55.944041
ECO0109, Change the sensor head directivity test to be tested at different encoder values,Closed,bom,,asap,2020-06-26 03:04:44.430483,2021-05-07 08:37:36.833188
ECO0263, Upgrade Gohan Firmware to Build 132 Release,Closed,product,,asap,2020-06-26 03:07:15.926586,2021-05-07 08:37:36.833188
DA0240,Link Budget Below Specification - 3-Channel Diceros Engine,Refused,product,,asap,2020-06-26 03:05:58.437174,2021-05-07 08:37:36.833188
DA0241,Link Budget Below Specification - 4-Channel Diceros Engine,Refused,product,,asap,2020-06-26 03:06:01.066522,2021-05-07 08:37:36.833188
ECO1871, Implementing Photop 1000L/mm grating in production,Pre-Implementation,bom,,asap,2021-08-23 06:20:42.972728,2022-08-02 05:49:29.386694
ECO0242, Change in inspection critera Gk3-Gk4 common optics,Closed,product,,asap,2020-06-26 03:06:03.809767,2021-05-07 08:37:36.833188
ECO0243, Changes to GA laser calibration (frequency range/settling time),Closed,product,,asap,2020-06-26 03:06:08.574257,2021-05-07 08:37:36.833188
DA1801,To Ship SYS2014 (E395 SH79) to Frontier,Closed,product,,asap,2021-03-30 04:44:07.623119,2022-05-19 06:05:57.991607
DA1810,To approve engines that failed APD sensitivity at 50 degC for production use,Closed,product,,asap,2021-04-12 03:47:22.276230,2022-06-10 00:48:04.475122
DA1878,To ship SYS2495 (E454 SH11) to Frontier,Refused,product,,asap,2021-09-22 04:38:38.252380,2022-01-19 05:02:18.904966
ECO0244, Update GOKU3 Lens Directivity Engineering Spec,Closed,product,,asap,2020-06-26 03:06:12.020864,2021-05-07 08:37:36.833188
DA1897,SH161 F2A Result at Max Vertical FOV below spec by 0.1deg (Off-road),New Deviation,product,,asap,2021-12-23 04:42:10.880052,2022-06-08 00:20:04.724453
ECO0783, Check and Set EDFA APC Values at EDFA GII,New Change Request,product,,asap,2020-06-26 03:38:54.631687,2022-07-06 04:14:44.576733
ECO0732, Goku 6 support,New Change Request,product,,asap,2020-06-26 03:40:37.261552,2022-07-06 04:14:44.576733
ECO1821, Goku sensor head assembly work instructions updates,Closed,product,,asap,2021-05-03 04:22:03.286672,2022-05-27 04:13:01.129178
ECO1892," Reducing sampling rate of QCPs for Goku lens, fiber array and prism",Pre-Implementation,product,,asap,2021-12-02 22:58:26.183416,2022-09-01 23:04:22.818629
DA1731,To use FW3917 in LiFT,New Deviation,product,,asap,2020-12-14 00:44:51.433851,2021-05-07 08:37:36.833188
DA1803,To Ship SYS2017 (E380 SH76) to Frontier,Closed,product,,asap,2021-03-31 04:41:15.262079,2022-05-19 06:06:05.479559
ECO1748, Relaxing the spec at the ESM post EDFA,Closed,product,,asap,2021-01-20 05:26:31.661344,2021-12-16 21:43:28.365531
ECO0727, Create New Accessory BOM with Plastic Connector and Inspection Kit,Closed,bom,,asap,2020-06-26 03:35:51.200211,2021-05-07 08:37:36.833188
DA1903,Diceros Port fw247 on MOBIS shipment,Closed,product,,asap,2022-01-12 06:24:14.010323,2022-01-13 09:28:22.402136
ECO0759, Change F2A Insertion Loss Region Definitions,Closed,product,,asap,2020-06-26 03:37:37.545401,2021-12-20 01:01:21.595380
DA1868,Change SH elec cable from 5m to 6m in G6 SH147,Closed,product,,asap,2021-08-19 03:25:08.608683,2021-10-20 20:10:52.635401
DA1911,DA to use YVO4 with wrong optical axis indication,Closed,product,,asap,2022-03-01 23:21:42.709473,2022-05-19 06:04:02.415371
DA0002,: New process- directivity test for tranceiver + uppersusbtructure,Closed,product,,asap,2020-06-26 03:07:33.749510,2021-05-07 08:37:36.833188
ECO0546, Update the QCPS for Fibre array,New Change Request,product,,asap,2020-06-26 03:39:12.625236,2022-07-06 04:14:44.576733
ECO1698, To release new engine and SH cables with the Deutsch connectors,New Change Request,bom,,asap,2020-10-21 23:28:33.936485,2022-07-06 04:14:44.576733
ECO1768, [Build 7.2.1.4046] Segmented noisefloor + Swamp v2 into production,Closed,product,,asap,2021-02-18 00:39:29.276154,2022-05-13 04:14:08.985100
DA0061,Screws without Loctite on hollow motor,Closed,bom,,asap,2020-06-26 03:01:45.625301,2021-05-07 08:37:36.833188
DA0570,To do Range test before capture test for 1003830-000-0000001883,Closed,product,,asap,2020-06-26 03:25:59.015820,2021-05-07 08:37:36.833188
ECO1947, Enigma Release 9.4 into Production,Assessment @ Change Review Board,bom,,asap,2022-08-18 10:28:44.640782,2022-08-24 03:46:22.618271
ECO1637, Intensity calibration over FOV v1,Closed,product,,asap,2020-07-16 03:25:22.368616,2022-05-13 01:04:40.749147
ECO1960, Release SAS V0 1009350-002 BoM,Effective,bom,,asap,2022-09-15 00:37:57.070844,2022-09-28 01:43:50.255023
DA0128,irectivity (Spinning) of the GOKU3 Sensor Head Failed,Closed,bom,,asap,2020-06-26 03:06:21.949281,2021-05-07 08:37:36.833188
DA0571,Changing the place for doing capture test,Closed,product,,asap,2020-06-26 03:26:01.867309,2021-05-07 08:37:36.833188
DA1936,To Ship SN504 to Veoneer Japan Demo,Closed,bom,,asap,2022-07-07 04:27:14.616139,2022-11-22 01:52:38.057366
DA1939,To Ship SYS507 (OM14H25) to customer,Refused,bom,,asap,2022-08-02 09:24:18.018749,2022-11-22 06:57:46.356077
DA1783,To Ship SYS2006 (E384+Sh74) to Frontier,Closed,product,,asap,2021-03-05 01:17:40.680247,2022-05-19 06:04:45.872943
ECO0388, ESM SMSR window change,Closed,product,,asap,2020-06-26 03:14:39.942429,2021-05-07 08:37:36.833188
DA1805,Detuning APC value of EDFA in SYS2018 (E397 SH78) for Frontier,Closed,product,,asap,2021-04-06 05:45:00.464393,2022-05-19 06:06:08.418180
ECO1806, Use MAC Address in the Pick List,Closed,product,,asap,2021-04-06 06:18:32.078673,2021-12-20 00:58:42.401727
DA0106,Replacing PPS resistor to ensure the PPS signal does not fail,Closed,bom,,asap,2020-06-26 03:04:34.321368,2021-05-07 08:37:36.833188
DA1856,To Release Engine 429 and 431 (Fail ESM),Closed,product,,asap,2021-07-15 05:18:29.574720,2021-10-20 20:10:52.635401
ECO0441, Update Hollow motor rotor tolerance update,Closed,bom,,asap,2020-06-26 03:18:02.435199,2021-05-07 08:37:36.833188
DA0250,Include Wooriro APDs (increased range) and R142 (reduce SMSR to improve horn artefacts) change in shipping products,Closed,product,,asap,2020-06-26 03:06:30.363740,2021-05-07 08:37:36.833188
ECO0302, Add Rx fusion to the 1/2CH Diceros engines,Closed,product,,asap,2020-06-26 03:09:13.681732,2021-05-07 08:37:36.833188
ECO0305,  Update the firmware version to build 1533,Closed,bom,,asap,2020-06-26 03:09:21.631516,2021-05-07 08:37:36.833188
DA1668,Release E330 with failed SMSR Post- EDFA (22.83),Closed,product,,asap,2020-09-08 00:26:36.971943,2022-05-19 06:49:27.128216
ECO0446, QCP inspection Updated to better cover Laser Fitment,Closed,product,,asap,2020-06-26 03:18:13.363634,2021-05-07 08:37:36.833188
ECO0447," Hollow motor encoder ring specifications update(thickness, material and home position)",Refused,bom,,asap,2020-06-26 03:18:18.243151,2021-05-07 08:37:36.833188
ECO0272, New process- directivity test for tranceiver + uppersusbtructure+ 1stGrating,Closed,product,,asap,2020-06-26 03:07:37.240408,2021-05-07 08:37:36.833188
DA0273,Cores marginally fail core directivity to be used in NIO builds,Closed,product,,asap,2020-06-26 03:07:39.659637,2021-05-07 08:37:36.833188
ECO0768, Introduce YOFC EDFA to Manufacturing,New Change Request,product,,asap,2020-06-26 03:38:15.547699,2022-07-06 04:14:44.576733
DA0779,Goku 6 - Release to customer,New Deviation,product,,asap,2020-06-26 03:40:51.359599,2021-05-07 08:37:36.833188
ECO0784, Update specs for EDFA at incoming inspection,Closed,product,,asap,2020-06-26 03:38:55.843740,2021-12-20 00:55:54.703977
DA1645,E285 failed SMSR post EDFA - allow to pass the control point,Closed,product,,asap,2020-07-28 06:15:31.726749,2021-05-07 08:37:36.833188
DA1727,SH101 chB failed VFOV on F2A rig,New Deviation,product,,asap,2020-12-06 21:39:08.722854,2021-05-07 08:37:36.833188
DA0222,"Release Diceros Engines (SN: 134, 136)",Closed,product,,asap,2020-06-26 03:05:15.545348,2021-05-07 08:37:36.833188
DA0123,Failed Coaxial transceiver at coupling insertion loss test,Closed,product,,asap,2020-06-26 03:05:18.529250,2021-05-07 08:37:36.833188
DA0225,): Thermal cycling of hollow motors,Closed,product,,asap,2020-06-26 03:05:25.103276,2021-05-07 08:37:36.833188
DA0227,Thermal cycling of sensor head,Closed,product,,asap,2020-06-26 03:05:30.450090,2021-05-07 08:37:36.833188
ECO0230," Updates to Quality Control Points and Manufacturing Rigs - 1-Channel Baraja LiDAR (includes Hollow Motor, Goku 3, Diceros)",Closed,product,,asap,2020-06-26 03:05:36.477394,2021-05-07 08:37:36.833188
ECO0231," Updates to Quality Control Points and Manufacturing Rigs - 2-Channel Baraja LiDAR (includes Hollow Motor, Goku 3, Diceros)",Closed,product,,asap,2020-06-26 03:05:37.858468,2021-05-07 08:37:36.833188
ECO0232," Updates to Quality Control Points and Manufacturing Rigs - 3-Channel Baraja LiDAR (includes Hollow Motor, Goku 3, Diceros)",Closed,product,,asap,2020-06-26 03:05:39.197947,2021-05-07 08:37:36.833188
DA0012,) Photop Faraday Rotators ,Closed,bom,,asap,2020-06-26 03:00:40.149403,2021-05-07 08:37:36.833188
ECO0233," Updates to Quality Control Points and Manufacturing Rigs - 4-Channel Baraja LiDAR (includes Hollow Motor, Goku 3, Diceros)",Closed,product,,asap,2020-06-26 03:05:40.602530,2021-05-07 08:37:36.833188
ECO0237, Goku 3 Hollow Motor modifications to remove Interference,Refused,product,,asap,2020-06-26 03:05:50.550454,2021-05-07 08:37:36.833188
DA0238,Link Budget Below Specification - 1-Channel Diceros Engine,Refused,product,,asap,2020-06-26 03:05:52.974990,2021-05-07 08:37:36.833188
DA0124,Directivity of the GOKU3 Coaxial Core failed,Closed,bom,,asap,2020-06-26 03:05:41.881476,2021-05-07 08:37:36.833188
DA1663,To release System 2411 and ship it to FDA,Closed,product,,asap,2020-08-28 01:36:51.051962,2022-05-19 06:48:30.228355
ECO0255, Introduction of new APD and APD supplier (Wooriro),Closed,bom,,asap,2020-06-26 03:06:52.548511,2021-05-07 08:37:36.833188
ECO0256, Fortuna 9 - Change SOA gate resistance on Fortuna for improved SMSR,Closed,product,,asap,2020-06-26 03:06:56.014903,2021-05-07 08:37:36.833188
DA0258,Region 2 Link Budget Below Specification (2 Channel Diceros),Refused,product,,asap,2020-06-26 03:07:02.961022,2021-05-07 08:37:36.833188
ECO0088, Goku 3 Hollow Motor Tolerance stack improved to account for bearing axial play,Refused,bom,,asap,2020-06-26 03:04:08.143180,2021-05-07 08:37:36.833188
DA0264,Burrs on Lens face of lower substructure,Refused,product,,asap,2020-06-26 03:07:19.171174,2021-05-07 08:37:36.833188
DA1774,To Ship SYS2002 (E382 SH66) and SYS2003 (E369 SH73) to Frontier,Closed,product,,asap,2021-02-24 03:50:45.378228,2022-06-10 00:51:23.745319
DA1929,To ship SN500 (OM41H51) for European Demos,Implementation,bom,,asap,2022-06-21 12:09:48.287731,2022-06-22 00:40:41.026493
ECO0521, Upgrade Gohan Firmware to release Application/Bootloader/Merged 162/28/23,New Change Request,product,,asap,2020-06-26 03:39:10.810617,2022-07-06 04:14:44.576733
DA1799,"To use SYS2012 (E380, SH79) in LiFT for Frontier",Closed,product,,asap,2021-03-26 02:27:43.475923,2022-05-19 06:05:53.848842
ECO0284, Update HollowMotor Bearing to M28 grease,Closed,product,,asap,2020-06-26 03:08:13.999563,2021-05-07 08:37:36.833188
ECO0289, Capture tests for LiFT,Closed,product,,asap,2020-06-26 03:08:33.840256,2021-05-07 08:37:36.833188
ECO0290, Improve eye safety of region playtables,Closed,product,,asap,2020-06-26 03:08:36.523188,2021-05-07 08:37:36.833188
,To refuse:ECO0291: Modify playtable names,Refused,product,,date,2020-06-26 03:08:39.543796,2021-05-07 08:37:36.833188
DA1870,To Release E448 (Marginal Failed at ESM SMSR),Closed,product,,asap,2021-08-22 22:51:47.368215,2021-10-20 20:10:52.635401
ECO1691, New Foam design for G5/G6 Systems,Closed,product,,asap,2020-10-06 23:08:00.323171,2022-09-19 23:58:51.136420
DA1864,To ship sys2486 (E431 SH138) to Veoneer,Closed,product,,asap,2021-07-28 04:58:21.840901,2021-10-20 20:10:52.635401
ECO0298, Introduce new firmware build into manufacturing,Closed,bom,,asap,2020-06-26 03:09:00.663198,2021-05-07 08:37:36.833188
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
DA1826,To ship SYS2455 (E405 SH122) to Veoneer,Closed,product,,asap,2021-05-11 23:57:58.842947,2021-10-20 20:10:52.635401
ECO0301, ESM Fix for points with bad SMSR,Closed,product,,asap,2020-06-26 03:09:09.629664,2021-05-07 08:37:36.833188
ECO0479, Adding Stop Button on the EDFA Test Rig for Safety,Closed,bom,,asap,2020-06-26 03:19:30.561454,2022-11-22 00:27:27.125054
DA0265,Clean incoming machined components using ultrasonic cleaner,Closed,product,,asap,2020-06-26 03:07:21.853880,2021-05-07 08:37:36.833188
DA1881,To ship SYS2497(E398 SH119) to Business Dev- Johnny,Closed,product,,asap,2021-09-30 22:03:17.890588,2021-10-20 20:10:52.635401
ECO0352, Change Gohan motor driver regulator and current limit,Refused,product,,asap,2020-06-26 03:12:22.709882,2021-05-07 08:37:36.833188
ECO0371, ANGIE ILMZ2 Updates and Production Release,Refused,product,,asap,2020-06-26 03:13:28.934350,2021-05-07 08:37:36.833188
ECO0356, Adding polarisation scrambler to F2A rig,Closed,product,,asap,2020-06-26 03:12:34.392296,2021-05-07 08:37:36.833188
ECO0363, Update Drawing to include Inspections,Refused,product,,asap,2020-06-26 03:12:59.242603,2021-05-07 08:37:36.833188
ECO0397, Engine Components Material Change to Match Supplied Material,Closed,bom,,date,2020-06-26 03:15:12.664050,2021-05-07 08:37:36.833188
DA0267,Change of hollow motor bearing lubricant to Mobil 28 grease 1001354,Closed,product,,asap,2020-06-26 03:07:29.294944,2021-05-07 08:37:36.833188
DA1828,To Ship SYS2443 (E388 SH114) to Komatsu,Closed,product,,asap,2021-05-13 03:18:21.788222,2022-05-19 06:08:06.934968
ECO0321, Intensity Calibration over Distance Improvements,Closed,product,,asap,2020-06-26 03:10:25.507799,2021-05-07 08:37:36.833188
ECO1644, Introduce Batch Sampling for Goods Inwards Inspection,Closed,bom,,asap,2020-07-27 23:40:03.350484,2022-11-22 00:11:03.207675
ECO1972, Archived,Archived,bom,,asap,2022-10-18 05:19:26.760823,2022-11-08 01:46:22.175951
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
ECO0537, Thread QCP for Lower Substructure & Core Fitment,Closed,bom,,asap,2020-06-26 03:23:40.390551,2022-11-22 00:22:41.611422
ECO1673, Update ECO template to include Compliance check,Closed,product,,asap,2020-09-15 05:31:21.533149,2022-05-13 01:19:14.978098
DA1769,To Ship 1003911-000-0000002000 (E349 SH71) to Frontier,Closed,product,,asap,2021-02-18 00:45:57.232404,2022-06-22 00:19:04.205722
ECO0335, Remove Old FW Test in Hollow Motor Test [HWT-0001],Refused,bom,,date,2020-06-26 03:11:19.019375,2021-05-07 08:37:36.833188
ECO0340, Change to Code load and laser cal.,Refused,product,,asap,2020-06-26 03:11:37.634987,2021-05-07 08:37:36.833188
DA1837,Move out of spec Equus Engine Top heat sink to Inventory (Laser slot width -Out of spec),Closed,product,,asap,2021-06-01 07:17:34.474149,2021-07-09 05:41:42.226722
ECO1671, Additional conduit securing method,Closed,product,,asap,2020-09-14 01:47:18.902525,2022-03-01 02:41:05.499645
DA1872,Hyla Engineering sample #1 delivered with non released branch FW,Closed,product,,asap,2021-08-23 09:25:00.356899,2022-06-10 00:38:33.800702
ECO1694, Introduce painted housings for SHs,Closed,product,,asap,2020-10-12 21:44:50.309145,2022-06-09 23:56:54.173032
DA1841,To use 1005770-0000000129 (SH129) in LiFT for internal use,Closed,product,,asap,2021-06-07 23:49:21.824251,2022-05-12 04:16:27.233301
ECO0368, Update Diceros engine to use Lumentum ILMZ2 laser,Refused,bom,,date,2020-06-26 03:13:17.686136,2021-05-07 08:37:36.833188
ECO0094, Addition of screws with pre-applied loctite to the sensor head assembly,Refused,bom,,date,2020-06-26 03:04:18.314120,2021-05-07 08:37:36.833188
DA0274,Run Prototype SH Sealing Test,Closed,product,,asap,2020-06-26 03:07:42.551274,2021-05-07 08:37:36.833188
DA0058," Use IQC-Failed Prism 2, Window and Window Frame in Goku 5 Builds",Closed,product,,asap,2020-06-26 03:28:03.574559,2022-02-28 05:51:34.468880
ECO0375, Update Lidar user Manual,Closed,product,,date,2020-06-26 03:13:41.742122,2021-05-07 08:37:36.833188
DA1886,To approve sys2499 (E454 SH11) for Customer(TBD) or stock,Assessment @ Change Review Board,product,,asap,2021-11-08 04:18:01.609517,2022-06-08 00:16:44.547981
ECO0629, Change Goku 5 Grating Limits to +/-60 at F2A,New Change Request,product,,asap,2020-06-26 03:39:42.213279,2022-07-06 04:14:44.576733
DA0509,Changing Process Spec for APD Bias,Refused,bom,,asap,2020-06-26 03:21:37.378998,2022-11-22 00:36:07.254804
ECO0748, Update the Goku 5 2-Way Insertion Loss Specs,Closed,product,,asap,2020-06-26 03:37:01.122152,2021-12-20 00:58:00.723763
ECO0402, Intensity over distance - calibration method2,Closed,product,,date,2020-06-26 03:15:28.169313,2021-05-07 08:37:36.833188
,To refuse: ECO0394: change Part Y in sensorhead to Part X,Refused,bom,,date,2020-06-26 03:14:57.823341,2021-05-07 08:37:36.833188
ECO0409, Update G3 Mounts to solid machined aluminum for stability,Closed,bom,,asap,2020-06-26 03:15:52.801257,2021-05-07 08:37:36.833188
ECO0643, Release FW3052 to Production,New Change Request,product,,asap,2020-06-26 03:39:49.815600,2022-07-06 04:14:44.576733
ECO0095, Change of specifications of screws in the engine to include pre-applied loctite,Closed,bom,,date,2020-06-26 03:04:20.410557,2021-05-07 08:37:36.833188
ECO0703, Up-rev Field Install Kit BoM [1004893-001],Closed,bom,,asap,2020-06-26 03:34:23.730804,2022-05-13 01:01:26.887963
ECO0421, Hollow Motor Mechanical Tolerance Updates,Closed,bom,,asap,2020-06-26 03:16:37.773436,2021-05-07 08:37:36.833188
ECO0649, Release FW3061 to Production,New Change Request,product,,asap,2020-06-26 03:40:00.343670,2022-07-06 04:14:44.576733
ECO0430, Correction of errors in engine components,Refused,product,,asap,2020-06-26 03:17:18.613857,2021-05-07 08:37:36.833188
ECO0432, Add a cap to the PPS connector on the engine customer cable,Closed,product,,asap,2020-06-26 03:17:24.968855,2021-05-07 08:37:36.833188
ECO0450, Fortuna rev 023 to increase laser gain current,Closed,bom,,asap,2020-06-26 03:18:28.586639,2021-05-07 08:37:36.833188
ECO0439, WI for incoming inspection to YVO4 crystal,Closed,bom,,asap,2020-06-26 03:17:52.776950,2021-05-07 08:37:36.833188
DA1930,Use of Grinded Screws for Goku 6 SHs,Assessment @ Change Review Board,product,,asap,2022-06-23 01:28:00.653716,2022-06-23 14:02:24.792824
ECO0754, Increasing the power of directivity rig,Closed,product,,asap,2020-06-26 03:37:20.317941,2022-01-27 00:12:38.273302
ECO0463, Update M5 orings to known grade of silicone from new supplier,Closed,product,,asap,2020-06-26 03:18:50.938709,2021-05-07 08:37:36.833188
DA0466,Rework failed GVT encoder rings and move it back to stock,Closed,product,,asap,2020-06-26 03:19:07.505010,2021-05-07 08:37:36.833188
DA0019,): Diffracted transmission below spec,Closed,bom,,asap,2020-06-26 03:00:47.995032,2021-05-07 08:37:36.833188
ECO0747, High resolution bounds within 2D-Directivity to sample -1 order,Closed,product,,asap,2020-06-26 03:36:57.491342,2022-01-11 05:04:41.890141
DA0275,Sensorheads' 2D directivity results below the Spec,Closed,product,,asap,2020-06-26 03:07:47.049083,2021-05-07 08:37:36.833188
DA0113,Temporary change to 2 way insertion loss ,Closed,bom,,asap,2020-06-26 03:04:52.083888,2021-05-07 08:37:36.833188
DA0249,Release of NPI Painted Goku 3,Refused,product,,asap,2020-06-26 03:06:24.621914,2021-05-07 08:37:36.833188
,To refuse ECO0488: Goku 3 Horizontal Mount Update to allow assembly,Refused,product,,asap,2020-06-26 03:20:06.862031,2021-05-07 08:37:36.833188
,To Refuse: ECO0489: Fortuna R030 Angie 2.0 Upgrade,Refused,product,,asap,2020-06-26 03:20:11.013710,2021-05-07 08:37:36.833188
DA1860,To ship SYS2460 (E408 SH125)to Monash,Closed,product,,asap,2021-07-23 03:19:27.262224,2021-10-20 20:10:52.635401
ECO0725, Improve ESM with EDFA spec,New Change Request,product,,asap,2020-06-26 03:40:26.531901,2022-07-06 04:14:44.576733
DA0715,To allow the use of 5 Lower Substructures failing incoming inspections,Closed,product,,asap,2020-06-26 03:35:08.162309,2022-05-13 05:36:29.919351
ECO1778, Update QC Upload Process,New Change Request,bom,,asap,2021-03-02 23:17:27.371262,2022-07-06 04:14:44.576733
ECO0761, Change Placement of Goku 5 Sensorhead SN Label,Closed,product,,asap,2020-06-26 03:37:43.593651,2021-12-20 00:58:12.621423
DA0252,2 Way IL failed at F2A IL test,Closed,product,,asap,2020-06-26 03:06:40.728311,2021-05-07 08:37:36.833188
ECO0303, Testing LIFT at 240m,Closed,product,,asap,2020-06-26 03:09:16.198088,2021-05-07 08:37:36.833188
DA0020,) to allow lenses with high directivity to be used in the build,Closed,bom,,asap,2020-06-26 03:00:49.149589,2021-05-07 08:37:36.833188
ECO0479, Adding Stop Button on the EDFA Test Rig for Safety,Closed,bom,,asap,2020-06-26 03:19:30.561454,2022-11-22 00:27:27.125054
ECO0479, Adding Stop Button on the EDFA Test Rig for Safety,Closed,bom,,asap,2020-06-26 03:19:30.561454,2022-11-22 00:27:27.125054
DA1827,To ship SYS2457 (E407 SH123) to GM,Closed,product,,asap,2021-05-13 00:59:18.863301,2022-05-19 06:08:01.931706
ECO0304, LIFT process flow,Closed,product,,asap,2020-06-26 03:09:18.918212,2021-05-07 08:37:36.833188
ECO0520, QCPs modification for optical components,Closed,product,,asap,2020-06-26 03:22:26.399934,2021-05-07 08:37:36.833188
ECO0519, Goku 5 Design Freeze - Deviation to release,Closed,bom,,asap,2020-06-26 03:22:21.394071,2021-05-07 08:37:36.833188
ECO0524, Goku5 (1003813-000) New conduit assembly,Closed,bom,,asap,2020-06-26 03:22:44.219157,2021-05-07 08:37:36.833188
DA1875,To Proceed FMG RMA System 1003910-000-0000001924,Closed,product,,asap,2021-08-24 00:47:04.913312,2021-11-08 05:18:17.674724
DA0306,Failed F2A SH139-GI,Closed,product,,asap,2020-06-26 03:09:24.920882,2021-05-07 08:37:36.833188
DA1686,Release lower substructure and magnet rings to production,Closed,product,,asap,2020-09-30 02:57:56.476856,2022-05-27 06:03:58.935203
DA1829,To ship SYS2460 (E408 SH125) to Veoneer,New Deviation,product,,asap,2021-05-13 04:25:20.774540,2021-07-26 05:25:52.627608
ECO0538, GOKU5 elec cable for better seal,Closed,product,,asap,2020-06-26 03:23:44.372338,2021-05-07 08:37:36.833188
ECO0541, Updated the play table definitions,Closed,product,,asap,2020-06-26 03:23:57.318556,2021-05-07 08:37:36.833188
DA0448,E221 has Failed code load,Closed,product,,asap,2020-06-26 03:18:22.275272,2021-05-07 08:37:36.833188
DA1830,To Release E410 (Failed EFT due to EDFA Ramp Up),Closed,product,,asap,2021-05-18 03:14:11.368452,2022-05-19 06:08:17.751430
ECO0395, Upgrading the Coaxial Rig,Closed,bom,,asap,2020-06-26 03:15:00.973953,2021-05-07 08:37:36.833188
DA1844,To use 1005770-0000000134 (SH134) in LiFT for HO,Closed,product,,asap,2021-06-15 23:38:16.846118,2022-05-19 06:09:04.315750
ECO0098, F2A + IL Insertion Loss quick check,Refused,bom,,asap,2020-06-26 03:04:26.020996,2021-05-07 08:37:36.833188
DA1876,To release G6 SH149 (failed at F2A V-IL Ch.2 only),Closed,product,,asap,2021-09-09 03:52:20.448060,2022-05-10 01:30:45.692605
