name,title,create_date,assigned_date,close_date,last_updated_date,tags
QA00056,Glue broke optical diode,2020-06-26 05:01:57.644849,2018-07-05 01:17:13.000000,,2020-06-26 05:01:57.915169,Operator
QA00057,Contamination on lens causing directivity issues,2020-06-26 05:01:58.337445,2018-07-05 00:36:01.000000,,2020-06-26 05:01:59.016083,Contamination;Sensorhead
QA00058,Rotor not fitting into bearing,2020-06-26 05:01:59.409266,2018-07-05 07:26:16.000000,,2020-06-26 05:01:59.745709,Tolerance;Vendor
QA00060,Link Budget Low,2020-06-26 05:02:00.230906,2018-07-17 01:19:29.000000,,2020-06-26 05:02:01.059027,RK3;Engine;Range;Link Budget
QA00062,18.5mm bore undersize when measured at Baraja,2020-06-26 05:02:01.492293,2018-07-10 00:04:04.000000,,2020-06-26 05:02:01.897158,Transceiver;Vendor;Tolerance
QA00063,Magnet rings warped,2020-06-26 05:02:02.311349,2018-07-10 03:26:07.000000,,2020-06-26 05:02:02.598862,Vendor
QA00064,Loss of optical power - fiber break,2020-06-26 05:02:02.970879,2018-07-11 07:31:17.000000,,2020-06-26 05:02:03.342827,RK2;Output Power
QA00065,Bearing fits in stator too tight,2020-06-26 05:02:03.711801,2018-07-17 01:49:09.000000,,2020-06-26 05:02:04.184920,Hollow Motor
QA00066,Burn Mark on surface,2020-06-26 05:02:04.534853,2018-07-17 23:45:32.000000,,2020-06-26 05:02:04.832354,Sensorhead
QA00067,sticky liquid substance on O rings,2020-06-26 05:02:05.241890,2018-07-18 02:16:10.000000,,2020-06-26 05:02:05.520755,Vendor;Contamination
QA00068,Grating clamp under size issues,2020-06-26 05:02:05.940640,2018-07-24 01:22:56.000000,,2020-06-26 05:02:07.245974,Optics;Vendor;Tolerance;RK2
QA00069,FR Not latched,2020-06-26 05:02:07.611019,2018-07-19 05:03:30.000000,,2020-06-26 05:02:07.898391,Hollow Motor
QA00073,"No Rx , Just noise in the point cloud",2020-06-26 05:02:08.264843,2018-07-24 03:49:10.000000,,2020-06-26 05:02:08.546052,Pointcloud;Pointcloud Noise
QA00074,Motor Instable.,2020-06-26 05:02:08.986586,2018-07-24 03:55:57.000000,,2020-06-26 05:02:09.320548,Audible Noise;Hollow Motor
QA00075,Wrong wiring connections,2020-06-26 05:02:09.677504,2018-07-26 07:47:48.000000,,2020-06-26 05:02:09.956771,Elec
QA00076,EDFA Temperature Issues,2020-06-26 05:02:10.266091,2018-07-26 08:26:42.000000,,2020-06-26 05:02:10.544777,EDFA
QA00077,Directivity Fail,2020-06-26 05:02:11.070481,2018-07-31 01:28:21.000000,,2020-06-26 05:02:12.794139,RK3;Directivity;Sensorhead
QA00078,Sensorhead Insertion Loss,2020-06-26 05:02:13.230464,2018-07-31 00:48:23.000000,,2020-06-26 05:02:14.619835,Insertion Loss;Range;RK2
QA00079,Lower Substructure no parts meeting specified tolerances,2020-06-26 05:02:14.982100,2018-07-31 06:38:14.000000,,2020-06-26 05:02:15.279412,RK2;Vendor;Tolerance
QA00080,Sensor head #30 motor not spinning at system,2020-06-26 05:02:15.615504,2018-08-02 00:00:23.000000,,2020-06-26 05:02:15.892567,Hollow Motor;RK1;Sensorhead
QA00081,Missing layers in PCB; all DNF components actually installed,2020-06-26 05:02:16.252177,2018-08-05 23:24:10.000000,,2020-06-26 05:02:16.745229,Elec
QA00082,System test fail - possible directivity,2020-06-26 05:02:17.025134,2018-08-06 00:28:39.000000,,2020-06-26 05:02:17.734348,Pointcloud
QA00083,Failed at Lidar system tesst,2020-06-26 05:02:18.039791,2018-08-06 00:44:50.000000,,2020-06-26 05:02:18.382224,Pointcloud
QA00084,Engine #49  Low Tx Power,2020-06-26 05:02:18.721736,2018-08-07 01:56:02.000000,,2020-06-26 05:02:19.245364,Output Power;EDFA;RK2
QA00085,Dot mark on grating,2020-06-26 05:02:19.652510,2018-08-03 00:34:10.000000,,2020-06-26 05:02:19.926997,Optics;Contamination
QA00086,Divergent beam ,2020-06-26 05:02:20.334242,2018-08-08 01:55:44.000000,,2020-06-26 05:02:20.602560,Transceiver
QA00087,Screw hole of the grating claim is too tight for screwing.,2020-06-26 05:02:21.029780,2018-08-08 07:08:52.000000,,2020-06-26 05:02:21.421930,Mech;RK2;Elec
QA00088,Crystal Tube outer diameter oversized (out of round),2020-06-26 05:02:21.730612,2018-08-09 03:11:36.000000,,2020-06-26 05:02:23.248563,Tolerance
QA00089,Broke wire from connector ,2020-06-26 05:02:23.577492,,,2020-06-26 05:02:23.858020,Elec
QA00090,"Too tight, can't install crystals",2020-06-26 05:02:24.189094,2018-08-10 08:01:30.000000,,2020-06-26 05:02:24.459716,Tolerance;Vendor
QA00091,EFT over temperature,2020-06-26 05:02:24.814424,2018-08-10 00:15:57.000000,,2020-06-26 05:02:25.319434,Link Budget
QA00092,SH# 33 Poor range performance,2020-06-26 05:02:25.676378,2018-08-13 00:47:51.000000,,2020-06-26 05:02:25.955226,Sensorhead;Range
QA00093,DJMT unable to meet drawing tolerance on the lower substructure parts,2020-06-26 05:02:26.292807,2018-08-16 06:14:07.000000,,2020-06-26 05:02:26.571427,Tolerance
QA00094,Senor heads failing at F2A rig due to motor problems but passes motor test,2020-06-26 05:02:26.878160,2018-08-19 05:54:31.000000,,2020-06-26 05:02:27.598993,F2A;Sensorhead
QA00095,E76 failed at EFT,2020-06-26 05:02:27.978001,2018-08-16 19:43:03.000000,,2020-06-26 05:02:28.469857,Link Budget;RK1
QA00097,Goku sensor head earth wire insulation,2020-06-26 05:02:28.775765,,,2020-06-26 05:02:29.071602,Elec;Vendor
QA00098,Channel 1 Tx and Rx Failure,2020-06-26 05:02:29.477485,2018-08-20 02:59:02.000000,,2020-06-26 05:02:30.102621,Output Power;RK1
QA00099,Lower Substructure lens gap width too small,2020-06-26 05:02:30.460470,2018-08-20 07:58:47.000000,,2020-06-26 05:02:30.887852,Optics;RK2;Tolerance
QA00100,Code load error,2020-06-26 05:02:31.345807,2018-08-17 04:07:28.000000,,2020-06-26 05:02:31.774509,Code Load;Top Assembly;Elec
QA00101,Safety of Screws Loosening From Spinning Grating without loctite,2020-06-26 05:02:32.079962,2018-08-20 06:38:28.000000,,2020-06-26 05:02:32.354279,Eye Safety
QA00103,Transceiver faied directivity test due to lens issue,2020-06-26 05:02:32.658064,,,2020-06-26 05:02:32.930498,Directivity;Transceiver;RK3
QA00104,Modify current encoder shade to clear screws in hollow motor assembly process,2020-06-26 05:02:33.286051,2018-08-21 00:36:30.000000,,2020-06-26 05:02:33.563426,Hollow Motor
QA00105,Light Covers Material Changed to reduce risk,2020-06-26 05:02:33.800097,2018-08-21 02:12:10.000000,,2020-06-26 05:02:34.071975,Misc
QA00106,Screws do not fit in current stator holes,2020-06-26 05:02:34.475151,2018-08-21 03:09:28.000000,,2020-06-26 05:02:34.751057,Hollow Motor;Tolerance
QA00110,0000000039,2020-06-26 05:02:35.704441,,,2020-06-26 05:02:36.158781,RK2
QA00111,Upper substructure 1001578 small screw hole issue,2020-06-26 05:02:36.465258,,,2020-06-26 05:02:36.851455,RK3;Sensorhead;Tolerance
QA00112,"Transceiver failed 2 way IL test
",2020-06-26 05:02:37.228226,,,2020-06-26 05:02:38.014106,Insertion Loss;Transceiver
QA00113,At the laser calibration rig the play tables are failing ,2020-06-26 05:02:38.396259,2018-08-23 03:21:38.000000,,2020-06-26 05:02:39.158638,Work Centre;RK2
QA00114,Mismatched points in point cloud,2020-06-26 05:02:39.414474,,,2020-06-26 05:02:40.534418,Pointcloud
QA00115,Diceros fails eye-safety standard and EMC radiated emissions regulation,2020-06-26 05:02:40.877894,2018-08-17 14:00:00.000000,,2020-06-26 05:02:41.217544,Eye Safety
QA00116,Encoder Reading Problem SH38,2020-06-26 05:02:41.597445,2018-08-27 01:56:11.000000,,2020-06-26 05:02:42.074443,FOV;Pointcloud;RK2
QA00119,Warped Encoder rings,2020-06-26 05:02:42.398388,,,2020-06-26 05:02:42.674370,Vendor;Hollow Motor
QA00120,Engine 78 - Cannot communicate with gohan on channels 1 and 4,2020-06-26 05:02:42.953457,,,2020-06-26 05:02:43.442964,Hollow Motor;Firmware
QA00121,failure at the ESM test after EDFA,2020-06-26 05:02:43.678457,,,2020-06-26 05:02:44.502566,SMSR
QA00122,Failure at ESM before EDFA,2020-06-26 05:02:44.763065,,,2020-06-26 05:02:45.590262,SMSR
QA00123,Failure Hollow motor test (Encoder Gap Failed),2020-06-26 05:02:45.985829,,,2020-06-26 05:02:49.128128,Hollow Motor;Tolerance;Mech;RK2;Vendor
QA00124,Non-Confirming window material,2020-06-26 05:02:49.447562,2018-08-31 03:20:52.000000,,2020-06-26 05:02:49.716559,RK1;Optics
QA00125,Eye Safety -Single Point of failure - EDFA.,2020-06-26 05:02:50.025637,,,2020-06-26 05:02:50.663187,Output Power;EDFA
QA00126,"Mirror failed QCP517 ""90 deg angle"" ",2020-06-26 05:02:50.968706,,,2020-06-26 05:02:51.398659,Tolerance;RK1;Optics
QA00127,high directivity on SH51 at transceiver test,2020-06-26 05:02:51.712921,,,2020-06-26 05:02:52.044503,Optics;RK1;Directivity
QA00128,Wrong (mirror image) cable connection,2020-06-26 05:02:52.435894,2018-09-05 00:17:09.000000,,2020-06-26 05:02:52.775198,Vendor
QA00129,Absorbing Sticker Single Point of Failure,2020-06-26 05:03:42.590004,2018-09-05 01:42:00.000000,,2020-06-26 05:03:42.861405,Misc
QA00130,Localised Wobble in the point clouds ,2020-06-26 05:03:43.263098,,,2020-06-26 05:03:43.263098,Sensorhead;Pointcloud;LiFT;RK3
QA00131,Ch1 is dead on EFT,2020-06-26 05:03:56.801888,2018-09-06 03:31:11.000000,,2020-06-26 05:03:57.287668,Top Assembly;Elec
QA00132,Linkbudget is dropped on 191 Thz,2020-06-26 05:03:57.687498,,,2020-06-26 05:03:58.178283,Link Budget;Elec
QA00133,Ch3 is dead on EFT,2020-06-26 05:03:58.432617,,,2020-06-26 05:03:58.921021,Top Assembly
QA00134,"IL = 6dB @ Tx on SH45 at LiFT , @MFG IL=1.8dB on Tx",2020-06-26 05:03:59.227202,2018-09-06 20:10:05.000000,,2020-06-26 05:03:59.721646,RK1;Insertion Loss
QA00135,Failed LiFT range 150m,2020-06-26 05:04:00.155956,2018-09-07 03:56:11.000000,,2020-06-26 05:04:00.665050,Optics;Sensorhead;Range
QA00136,Engine 79: Etalon data not returned properly,2020-06-26 05:04:00.958693,,,2020-06-26 05:04:01.485735,Firmware;Error Code
QA00137,51 out of 53 playtables failed during laser calibration.,2020-06-26 05:04:01.946777,,,2020-06-26 05:04:02.624144,Laser Calibration;RK1
QA00138,APD cover  clearance issue,2020-06-26 05:04:02.947047,,,2020-06-26 05:04:03.501257,Top Assembly;RK1
QA00139,Manually loaded PCBAs,2020-06-26 05:04:03.826995,2018-09-13 22:43:34.000000,,2020-06-26 05:04:04.180997,Vendor
QA00140,Variability in Mounting/Output beam,2020-06-26 05:04:04.546495,,,2020-06-26 05:04:07.706983,Optics;F2A;RK2
QA00141,NIO returns due to missing loctite on  Hollow Motor fastners,2020-06-26 05:04:08.185609,2018-09-18 06:47:15.000000,,2020-06-26 05:04:08.971584,Reliability;Misc;RK3;Hollow Motor
QA00142,Sensor head failed directivity test (Single Frequency failure),2020-06-26 05:04:09.291280,,,2020-06-26 05:04:10.327072,Sensorhead;Directivity
QA00143,High Directivity,2020-06-26 05:04:10.678095,,,2020-06-26 05:04:11.494244,Directivity;Sensorhead
QA00144,Linkbudget drop ,2020-06-26 05:04:11.893426,2018-09-20 01:19:06.000000,,2020-06-26 05:04:12.883023,Engine;Link Budget
QA00145,EDFA Comms not working - Engine 79,2020-06-26 05:04:13.220908,2018-09-20 03:32:22.000000,,2020-06-26 05:04:13.723864,EDFA;Comms
QA00146,Failed motor test due to Han board and magnetic plate tolerance issue,2020-06-26 05:04:14.104405,2018-09-22 01:12:43.000000,,2020-06-26 05:04:16.060683,Hollow Motor;Elec;Tolerance;RK1
QA00147,EDFA output low,2020-06-26 05:04:16.346771,2018-09-21 03:27:31.000000,,2020-06-26 05:04:16.911492,EDFA;Output Power
QA00148,SH-Directivity test fail at 1542nm with -76.5db,2020-06-26 05:04:17.251573,2018-09-25 00:34:32.000000,,2020-06-26 05:04:17.587419,Sensorhead;Directivity;RK1
QA00149,EDFA screw hole too big,2020-06-26 05:04:17.845289,,,2020-06-26 05:04:18.234954,EDFA;Tolerance
QA00150,Normal Prism 2 assembled with reversed bracket and clamp,2020-06-26 05:04:18.514922,2018-09-26 23:28:20.000000,,2020-06-26 05:04:18.896060,Sensorhead;RK1;Optics
QA00151,Drift in Theta,2020-06-26 05:04:19.281815,,,2020-06-26 05:04:19.781795,Pointcloud;Sensorhead;Engine
QA00152,Electrical Cable cross talking with each other,2020-06-26 05:04:20.104622,2018-09-28 05:13:10.000000,,2020-06-26 05:04:20.454544,Comms;RK1;Elec
QA00153,SH 61 failed directivity test,2020-06-26 05:04:20.713113,2018-10-03 05:34:12.000000,,2020-06-26 05:04:21.232285,Sensorhead;Directivity
QA00154,EMC Electrical Cable,2020-06-26 05:04:21.539769,2018-10-05 05:21:51.000000,,2020-06-26 05:04:21.899150,Elec;Vendor;RK1
QA00155,"1. PCB silk screen print found inside via holes.
2. Discoloured vias",2020-06-26 05:04:22.239418,2018-10-08 02:20:21.000000,,2020-06-26 05:04:22.516646,RK1;Vendor;Operator;Elec
QA00156,Hollow Motor Magnetic back plate Encoder Gap,2020-06-26 05:04:22.973738,2018-10-09 02:31:20.000000,,2020-06-26 05:04:23.254766,Tolerance;Vendor;RK1;Hollow Motor
QA00157,Ethernet/PPS signal integrity,2020-06-26 05:04:23.617087,2018-10-09 21:40:49.000000,,2020-06-26 05:04:24.472374,Elec
QA00158,Top Heat Sink Screw Hole Issue,2020-06-26 05:04:24.786508,2018-10-10 22:53:13.000000,,2020-06-26 05:04:25.063758, Vendor;RK1;Top Assembly
QA00159,FullFrame not working,2020-06-26 05:04:25.323398,,,2020-06-26 05:04:25.926882,Pointcloud;Software
QA00160,Han Board not controlling the speed of Hollow Motor,2020-06-26 05:04:26.371617,2018-10-10 22:58:53.000000,,2020-06-26 05:04:28.084998,Firmware;RK1;Hollow Motor;Elec
QA00161,Bad F2A,2020-06-26 05:04:28.393781,,,2020-06-26 05:04:28.887581,F2A;Pointcloud;Sensorhead
QA00162,PCB Interference - Electromagnet Trace Wear,2020-06-26 05:04:29.345733,2018-10-10 23:25:01.000000,,2020-06-26 05:04:29.839256,RK2;Hollow Motor;Reliability;Elec;Mech;Audible Noise
QA00163,front housing has screw quality issue,2020-06-26 05:04:30.196300,2018-10-11 22:47:30.000000,,2020-06-26 05:04:30.469578,Sensorhead;RK1
QA00164,Failed Coaxial Calibration ,2020-06-26 05:04:30.728551,2018-10-11 23:14:17.000000,,2020-06-26 05:04:31.200836,Transceiver;RK3
QA00165,Laser output power is too low and enable to start the laser calibration,2020-06-26 05:04:31.533106,2018-10-11 23:32:11.000000,,2020-06-26 05:04:31.935987,Output Power;Laser Calibration;RK1;Engine
QA00166,EDFA malfunction,2020-06-26 05:04:32.218833,2018-10-11 23:28:06.000000,,2020-06-26 05:04:32.709585,EDFA;RK2;Output Power
QA00167,Link budget of 4 channels is low,2020-06-26 05:04:33.012935,2018-10-12 00:57:13.000000,,2020-06-26 05:04:33.632534,Engine;Link Budget
QA00168,Link budget on 4 Channels are low,2020-06-26 05:04:34.059965,,,2020-06-26 05:04:34.557285,Link Budget;Engine
QA00169,Vertical Scan error,2020-06-26 05:04:34.865846,2018-10-12 04:04:44.000000,,2020-06-26 05:04:35.368794,Error Code;RK1;Firmware
QA00170,Oversized cable retainer holes,2020-06-26 05:04:35.696299,2018-10-14 23:03:28.000000,,2020-06-26 05:04:35.973246,Tolerance;RK1;Engine;Vendor
QA00171,Fortuna-Lum BoM error,2020-06-26 05:04:36.332656,2018-10-12 00:15:27.000000,,2020-06-26 05:04:36.615929,Top Assembly;RK1;Elec;Process
QA00172,Cannot find the first tube at lase cal,2020-06-26 05:04:36.876897,2018-10-15 05:35:59.000000,,2020-06-26 05:04:37.439417,Laser Calibration
QA00173,Move away from mechanical parts suppliers with insufficient process capability / quality for production machining,2020-06-26 05:04:37.778601,,,2020-06-26 05:04:38.302868,Vendor;Tolerance;Purchasing
QA00174,Lower Substructures; Dents on surfaces,2020-06-26 05:04:38.660712,2018-10-16 23:41:44.000000,,2020-06-26 05:04:39.220631,Tolerance;RK1;Vendor;Mech
QA00175,Electrical cable issue caused SH failed FTA,2020-06-26 05:04:39.595874,2018-10-16 23:45:40.000000,,2020-06-26 05:04:39.879974,RK1;Vendor;Elec;F2A;Hollow Motor;Sensorhead
QA00176,Transceiver,2020-06-26 05:04:40.171805,,,2020-06-26 05:04:40.617506,Transceiver;RK1
QA00177,"LOW Collection efficiency of the coaxial
",2020-06-26 05:04:40.858374,,,2020-06-26 05:04:41.422790,Transceiver
QA00178,Upper substructures; Screw hole threading,2020-06-26 05:04:41.678764,2018-10-17 03:52:22.000000,,2020-06-26 05:04:41.947903,RK1;Vendor
QA00180,Molding Defects,2020-06-26 05:04:42.994450,,,2020-06-26 05:04:43.267389,Vendor;RK1;Elec
QA00181,Horns - Retro-reflector artefacts in the point cloud,2020-06-26 05:04:43.602565,2018-10-18 23:24:14.000000,,2020-06-26 05:04:45.111288,Pointcloud;RK3;FOV
QA00182,Laser output power very low,2020-06-26 05:04:45.518435,2018-10-19 04:46:41.000000,,2020-06-26 05:04:47.273830,RK1;Laser Calibration;Output Power
QA00183,Motor test failed for R&D build hollow motor,2020-06-26 05:04:47.604067,2018-10-18 20:52:03.000000,,2020-06-26 05:04:48.095536,RK1;Hollow Motor;Mech;Elec
QA00184,Multi Mode Fibre Core Size Big,2020-06-26 05:04:48.427028,2018-10-21 23:56:04.000000,,2020-06-26 05:04:48.698939,Vendor;RK1;Optics
QA00185,Condensation inside SH67,2020-06-26 05:04:49.003780,2018-10-21 22:53:07.000000,,2020-06-26 05:04:49.379426,RK2;Reliability;Sensorhead;LiFT
QA00186,The engine cannot keep running,2020-06-26 05:04:49.658513,2018-10-22 21:07:11.000000,,2020-06-26 05:04:50.264577,Engine;EDFA;Firmware
QA00187,Single frequency dropped at EFT (191.8THz),2020-06-26 05:04:50.571912,2018-10-23 05:42:52.000000,,2020-06-26 05:04:51.061192,Engine;Link Budget;RK1;Elec
QA00188,HWP from HG Optronics,2020-06-26 05:04:51.387190,2018-10-19 05:59:19.000000,,2020-06-26 05:04:51.948637,Purchasing;coaxial;RK2;Vendor
QA00189,Directivity Fail,2020-06-26 05:04:52.208334,2018-10-24 00:40:56.000000,,2020-06-26 05:04:52.539196,RK2;Directivity
QA00190,7 screw holes on EDFA are too big for 3x6 mm screws,2020-06-26 05:04:52.794234,2018-10-24 01:00:47.000000,,2020-06-26 05:04:53.289100,Tolerance;EDFA
QA00191,PCB revision mislabelled on silkscreen,2020-06-26 05:04:53.548902,2018-10-25 00:00:32.000000,,2020-06-26 05:04:54.050281,Elec
QA00192,Engine top seat damaged,2020-06-26 05:04:54.308400,,,2020-06-26 05:04:54.923925,Top Assembly
QA00193,Detachment of Zero Order Sticker (Outside),2020-06-26 05:04:55.179753,,,2020-06-26 05:04:56.443865,Misc
QA00194,PM fibre shorter than requirement,2020-06-26 05:04:56.780267,2018-10-25 18:44:48.000000,,2020-06-26 05:04:57.093800,Tolerance;Vendor;RK1
QA00195,APD 1 was found open circuited caused by bad resistor,2020-06-26 05:04:57.498875,2018-10-26 00:13:28.000000,,2020-06-26 05:04:58.140549,Top Assembly;RK1;Vendor;Elec
QA00196,PPS chip damaged on PCB board,2020-06-26 05:04:58.500131,2018-10-26 02:52:32.000000,,2020-06-26 05:04:59.121753,Engine;Elec;RK1
QA00197,No output power at EDFA2,2020-06-26 05:04:59.480373,2018-10-31 23:21:47.000000,,2020-06-26 05:04:59.760084,Tolerance;EDFA;RK1;Output Power;Vendor
QA00198,No Hydrophobic coating on windows ,2020-06-26 05:05:00.066688,2018-11-01 23:49:12.000000,,2020-06-26 05:05:03.916125,RK2;Optics;Sensorhead
QA00199,DA00043 record not found in Odoo,2020-06-26 05:05:04.250226,2018-11-04 23:05:43.000000,,2020-06-26 05:05:04.882651,Misc;RK2
QA00200,High 2-way insertion loss,2020-06-26 05:05:05.251046,2018-11-05 22:59:46.000000,,2020-06-26 05:05:05.762672,RK1;Insertion Loss;Optics;Transceiver
QA00201,High 2-way IL,2020-06-26 05:05:06.162873,2018-11-06 02:35:44.000000,,2020-06-26 05:05:06.666707,Vendor;RK1;Insertion Loss;Optics;Transceiver
QA00202,ISO9001 Stage 1 Audit Finding - Lack of control on documents,2020-06-26 05:05:06.980339,2018-11-06 03:06:59.000000,,2020-06-26 05:05:07.987057,Misc
QA00203,ISO9001 Stage 1 Audit - No Audit Plan for 2019,2020-06-26 05:05:08.219003,2018-11-06 03:16:06.000000,,2020-06-26 05:05:08.552859,RK3;Misc
QA00204,ISO9001 Stage 1 Audit - Quality Objectives too narrow in scope,2020-06-26 05:05:08.810905,2018-11-06 03:22:26.000000,,2020-06-26 05:05:09.597295,Misc
QA00205,ISO9001 Stage 1 Audit - Lack of M&C Process,2020-06-26 05:05:09.838258,2018-11-06 03:26:22.000000,,2020-06-26 05:05:10.524796,Misc
QA00206,ISO9001 Stage 1 Audit - lack of checks completed to ensure staff are appropriately qualified,2020-06-26 05:05:10.765452,2018-11-06 03:29:59.000000,,2020-06-26 05:05:16.067531,Misc;RK3
QA00207,Transceiver failed the directivity test,2020-06-26 05:05:16.382944,2018-11-06 04:25:15.000000,,2020-06-26 05:05:16.881012,Directivity;Transceiver;RK1;Optics
QA00208,EDFA driving chip damaged on PCB board at MZ Tuning test,2020-06-26 05:05:17.233800,2018-11-07 00:55:51.000000,,2020-06-26 05:05:17.567200,RK1;EDFA;Output Power;Engine;MZ Tuning;Elec
QA00209,EDFA driving chip damaged on PCB board at MZ Tuning test,2020-06-26 05:05:17.942893,2018-11-07 03:09:16.000000,,2020-06-26 05:05:18.449088,RK1;Engine;Output Power;EDFA;Elec;MZ Tuning
QA00210,Directivity failed,2020-06-26 05:05:18.727087,,,2020-06-26 05:05:19.236741,Directivity;Sensorhead;RK1
QA00211,directivity failed,2020-06-26 05:05:19.520111,2018-11-11 21:25:03.000000,,2020-06-26 05:05:19.857447,Directivity;RK1;Sensorhead
QA00212,No EDFA output power at ESM with EDFA test,2020-06-26 05:05:20.294622,2018-11-11 21:27:57.000000,,2020-06-26 05:05:21.583674,Engine;RK1;EDFA;Output Power
QA00213,Small screw hole for grating clamp,2020-06-26 05:05:21.915346,2018-11-11 22:46:34.000000,,2020-06-26 05:05:22.412553,Optics;RK1;Sensorhead;Vendor
QA00214,Cosmetic Defects in gratings,2020-06-26 05:05:22.817288,2018-11-12 02:27:08.000000,,2020-06-26 05:05:23.998412,Optics;RK1;Vendor
QA00215,Oil on Substructure,2020-06-26 05:05:24.345648,,,2020-06-26 05:05:24.875337,Contamination
