po_id,po_reference,order_date,contractual_date,updated_date,scheduled_date,due_date,total_amount,taxed_amount,untaxed_amount,paid_amount,unpaid_amount,paid_amount_aud,currency_rate,currency,payment,po_status,vendor_reference,expense_type,receipt_count,vendor_name,requested_by,created_by,updated_by,department,received,payment_terms,purchasetype
1700,PO05699,2021-07-21 22:38:53.000000,2021-07-21 22:38:53.000000,2022-02-11 10:59:38.447029,2021-07-22 22:39:14.000000,2021-07-22,78.91,7.17,71.74,78.91,0.0,78.91,AUD,1.0,Paid,purchase,,non_capital,0,Supercheap Auto,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,0.0,Expense
2130,PO06129,2021-10-04 22:41:12.000000,2021-11-03 22:41:12.000000,2022-02-11 10:59:38.447029,2021-09-29 23:42:55.000000,2021-10-29,26.4,2.4,24.0,26.4,0.0,26.4,AUD,1.0,Paid,purchase,INV 30/09/21,non_capital,0,Supagas Australia,Jamie Ball,Jamie Ball,OdooBot,A016 - People and Culture,yes,30.0,Expense
1603,PO05602,2021-07-08 23:42:19.000000,2021-07-08 23:42:19.000000,2022-02-11 10:59:38.447029,2021-07-15 23:43:40.000000,2021-07-15,129.48,0.0,129.48,129.48,0.0,129.48,USD,1.0,Paid,purchase,Buy online,non_capital,0,Designatronics inc. (SDP/SI),Arjun Abayasingam,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,0.0,Expense
2614,PO06613,2021-12-03 02:41:28.000000,2022-01-02 02:41:28.000000,2022-02-11 10:59:38.447029,2021-12-10 02:41:41.000000,2022-01-09,345.25,31.39,313.86,345.25,0.0,345.25,AUD,1.0,Paid,purchase,,non_capital,0,Open Wiring Systems,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Expense
2196,PO06195,2021-10-11 04:30:45.000000,2021-11-10 04:30:45.000000,2022-02-11 10:59:38.447029,2021-10-17 22:17:52.000000,2021-11-16,122.84,0.0,122.84,122.85,-0.01,122.85,AUD,1.0,Paid,purchase,Order online using trade account,non_capital,0,Digi-Key Electronics,Kaushalya Satharasinghe,Jamie Ball,OdooBot,R014 - Engineering - Electronics,yes,30.0,Expense
1750,PO05749,2021-07-29 05:45:52.000000,2021-08-28 05:45:52.000000,2022-02-11 10:59:38.447029,2021-09-10 05:45:52.000000,2021-10-10,242.0,22.0,220.0,242.0,0.0,242.0,AUD,1.0,Paid,purchase,,non_capital,0,FS,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Inventor
176,PO04175,2020-08-18 05:25:47.000000,2020-09-17 05:25:47.000000,2022-02-11 10:59:38.447029,2020-08-28 05:25:47.000000,2020-09-27,74.98,6.82,68.16,74.98,0.0,74.98,AUD,1.0,Paid,purchase,,non_capital,0,Mektronics Australia Pty Ltd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
576,PO04575,2020-12-17 23:17:48.000000,2020-12-31 23:17:48.000000,2022-02-11 10:59:38.447029,2021-03-21 23:17:48.000000,2021-04-04,63000.0,0.0,63000.0,63000.0,0.0,63000.0,USD,1.0,Paid,purchase,,non_capital,0,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,14.0,Not Specified
1331,PO05330,2021-05-24 03:53:56.000000,2021-06-23 03:53:56.000000,2022-02-11 10:59:38.447029,2021-06-30 03:55:49.000000,2021-07-30,551.09,50.1,500.99,551.1,-0.01,551.1,AUD,1.0,Paid,purchase,,non_capital,0,Element14 Pty Ltd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
663,PO04662,2021-01-18 05:03:43.000000,2021-02-17 05:03:43.000000,2022-02-11 10:59:38.447029,2021-02-15 05:03:43.000000,2021-03-17,4800.0,0.0,4800.0,4800.0,0.0,4800.0,USD,1.0,Paid,purchase,,non_capital,0,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
1811,PO05810,2021-08-10 03:22:22.000000,2021-09-09 03:22:22.000000,2022-02-11 10:59:38.447029,2021-08-13 03:22:39.000000,2021-09-12,103.41,9.4,94.01,103.41,0.0,103.41,AUD,1.0,Paid,purchase,,non_capital,0,RS Components Pty Ltd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Expense
2204,PO06203,2021-10-12 02:36:05.000000,2021-11-11 02:36:05.000000,2022-03-07 06:48:55.538526,2021-11-12 02:37:01.000000,2021-12-12,3220.0,0.0,3220.0,3220.0,0.0,3220.0,USD,1.0,Paid,purchase,,non_capital,0,Gorilla Circuits,Michael Chang,Michael Chang,Anna Bui,C002 - Supply Chain,yes,30.0,Inventor
2773,PO06772,2022-01-04 23:46:34.000000,2022-02-03 23:46:34.000000,2022-04-06 01:29:03.540600,2022-01-27 23:46:34.000000,2022-02-26,1250.0,0.0,1250.0,1250.0,0.0,1250.0,USD,1.0,Paid,done,,,0,"DJ MODEL & TOOLING CO.,LIMITED",Michael Chang,Michael Chang,Anna Bui,C002 - Supply Chain,yes,30.0,Inventor
1268,PO05267,2021-05-10 22:52:29.000000,2021-06-09 22:52:29.000000,2022-02-11 10:59:38.447029,2021-05-17 22:35:18.000000,2021-06-16,100.5,9.14,91.36,93.0,7.5,93.0,AUD,1.0,Not Paid,purchase,,non_capital,0,SCORPTEC COMPUTERS,Kang Chen,Jamie Ball,OdooBot,A012 - Information Technology,yes,30.0,Not Specified
2749,PO06748,2021-12-29 00:43:00.000000,2022-01-28 00:43:00.000000,2022-04-06 01:34:46.821649,2022-02-11 00:43:21.000000,2022-03-13,1132.45,102.95,1029.5,1132.45,0.0,1132.45,AUD,1.0,Paid,purchase,,non_capital,0,FS,Michael Chang,Michael Chang,Anna Bui,C002 - Supply Chain,yes,30.0,Inventor
876,PO04875,2021-02-22 02:56:55.000000,2021-02-22 02:56:55.000000,2022-02-11 10:59:38.447029,2021-02-26 02:57:57.000000,2021-02-26,94.99,8.64,86.35,94.99,0.0,94.99,AUD,1.0,Paid,purchase,Buy online,non_capital,0,EBay,Ryan Barnes,Jamie Ball,OdooBot,R002 - Technology Development,yes,0.0,Not Specified
161,PO04160,2020-08-16 23:58:41.000000,2020-08-16 23:58:41.000000,2022-02-11 10:59:38.447029,2020-09-13 23:46:17.000000,2020-09-13,2948.75,0.0,2948.75,2948.75,0.0,2948.75,USD,1.0,Paid,purchase,,non_capital,0,VXB.com Bearings,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,0.0,Not Specified
1967,PO05966,2021-09-08 23:23:35.000000,2021-09-08 23:23:35.000000,2022-02-11 10:59:38.447029,2021-09-26 23:24:03.000000,2021-09-26,1711.6,155.6,1556.0,,1711.6,,AUD,,Not Paid,purchase,Estimate: 1440,non_capital,0,Paper Moose,Daisy Johnson,Jamie Ball,OdooBot,A010 - Marketing,yes,0.0,Expense
815,PO04814,2021-02-08 22:37:55.000000,2021-02-08 22:37:55.000000,2022-02-11 10:59:38.447029,2021-02-16 23:23:10.000000,2021-02-16,1612.0,0.0,1612.0,1612.0,0.0,1612.0,AUD,1.0,Paid,purchase,,non_capital,0,Edmund Optics Singapore,Xiaoli Tang,Jamie Ball,OdooBot,R016 - Engineering - Optical,yes,0.0,Not Specified
3150,PO07149,2022-03-24 01:32:09.000000,2022-04-23 01:32:09.000000,2022-04-20 00:12:16.979579,2022-03-31 01:32:43.000000,2022-04-30,726.0,66.0,660.0,741.95,-15.95,741.95,AUD,1.0,Paid,done,,,0,Mektronics Australia Pty Ltd,Wai Wai Lay,Michael Chang,Nikki Tang,C008 - Operations,yes,30.0,Expense
1004,PO05003,2021-03-16 22:58:00.000000,2021-04-15 22:58:00.000000,2022-02-11 10:59:38.447029,2021-03-21 22:58:35.000000,2021-04-20,133.86,12.17,121.69,133.86,0.0,133.86,AUD,1.0,Paid,purchase,,non_capital,0,Element14 Pty Ltd,Wai Wai Lay,Michael Chang,OdooBot,C006 - Pilot Manufacturing,yes,30.0,Not Specified
19,PO04018,2020-07-05 23:25:29.000000,2020-07-05 23:25:29.000000,2022-02-11 10:59:38.447029,2020-07-16 23:26:32.000000,2020-07-16,7863.7,714.88,7148.82,7863.7,0.0,7863.7,AUD,1.0,Paid,purchase,Quote: Baraja_SL3_300620,capital,0,MICROSOFT PTY LTD,Leigh Pigram,Jamie Ball,OdooBot,A012 - Information Technology,yes,,Not Specified
2721,PO06720,2021-12-20 01:29:36.000000,2022-01-19 01:29:36.000000,2022-02-11 10:59:38.447029,2021-12-21 01:31:01.000000,2022-01-20,98.31,8.94,89.37,98.31,0.0,98.31,AUD,1.0,Paid,purchase,Order online using trade account,non_capital,0,RS Components Pty Ltd,Matt Haines,Jamie Ball,OdooBot,R018 - Engineering - PMO,yes,30.0,Expense
357,PO04356,2020-10-28 22:40:44.000000,2020-11-27 22:40:44.000000,2022-02-11 10:59:38.447029,2020-11-04 22:42:09.000000,2020-12-04,374.0,34.0,340.0,187.0,187.0,187.0,AUD,1.0,Not Paid,purchase,Quote: DO36439,non_capital,0,Open Wiring Systems,Nikhil Cunha,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,30.0,Not Specified
2366,PO06365,2021-11-04 23:03:11.000000,2021-12-04 23:03:11.000000,2022-02-11 10:59:38.447029,2021-11-25 23:03:11.000000,2021-12-25,3780.0,0.0,3780.0,3780.0,0.0,3780.0,USD,1.0,Paid,purchase,,non_capital,0,Acktar Ltd,Gordon Ding,Gordon Ding,OdooBot,C006 - Pilot Manufacturing,yes,30.0,Inventor
769,PO04768,2021-02-02 04:45:09.000000,2021-03-04 04:45:09.000000,2022-02-11 10:59:38.447029,2021-04-30 03:41:42.000000,2021-05-30,5897.5,0.0,5897.5,5897.5,0.0,5897.5,USD,1.0,Paid,purchase,,non_capital,0,Gorilla Circuits,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
1550,PO05549,2021-07-01 01:01:26.000000,2021-07-01 01:01:26.000000,2022-02-11 10:59:38.447029,2021-07-15 01:02:40.000000,2021-07-15,197.93,17.99,179.94,208.71,-10.78,197.93,AUD,1.0544636992876268,Paid,purchase,Buy online,non_capital,0,Etsy,Jamie Ball,Jamie Ball,OdooBot,A016 - People and Culture,yes,0.0,Expense
1287,PO05286,2021-05-14 06:12:09.000000,2021-06-13 06:12:09.000000,2022-02-11 10:59:38.447029,2021-05-28 06:12:25.000000,2021-06-27,4033.59,366.69,3666.9,4033.6,-0.01,4033.6,AUD,1.0,Paid,purchase,,non_capital,0,Open Wiring Systems,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
307,PO04306,2020-10-14 00:13:23.000000,2020-11-13 00:13:23.000000,2022-02-11 10:59:38.447029,2020-11-13 00:13:38.000000,2020-12-13,1245.0,0.0,1245.0,1245.0,0.0,1245.0,USD,1.0,Paid,purchase,,non_capital,0,Acktar Ltd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
3199,PO07198,2022-04-06 02:10:10.000000,2022-04-06 02:10:10.000000,2022-05-02 14:17:20.975454,2022-04-13 02:10:45.000000,2022-04-13,267.64,24.09,243.55,267.64,0.0,267.64,AUD,1.0,Paid,done,Buy online,,0,Mwave.com.au,Jamie Ball,Jamie Ball,Anna Bui,C010 - Field Application Engineers,yes,0.0,Expense
91,PO04090,2020-07-17 00:49:55.000000,2020-08-16 00:49:55.000000,2022-02-11 10:59:38.447029,2020-06-24 00:49:55.000000,2020-07-24,330.66,30.06,300.6,330.66,0.0,330.66,AUD,1.0,Paid,purchase,Duplicate of PO03470,non_capital,0,FS,Tim Affleck,Jamie Ball,OdooBot,C004 - NPI,yes,30.0,Not Specified
305,PO04304,2020-10-14 00:00:22.000000,2020-11-13 00:00:22.000000,2022-02-11 10:59:38.447029,2020-12-31 00:00:58.000000,2021-01-30,468.0,0.0,468.0,468.0,0.0,468.0,USD,1.0,Paid,purchase,,non_capital,0,K-One Industry Sdn Bhd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,no,30.0,Not Specified
743,PO04742,2021-01-28 23:35:30.000000,2021-02-27 23:35:30.000000,2022-02-11 10:59:38.447029,2021-04-01 23:35:48.000000,2021-05-01,10200.0,0.0,10200.0,10200.0,0.0,10200.0,USD,1.0,Paid,purchase,,non_capital,0,Zhongshan Meisu Technology Co Ltd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
10,PO04009,2020-07-02 01:37:12.000000,2020-07-02 01:37:12.000000,2022-02-11 10:59:38.447029,2020-08-06 01:37:12.000000,2020-08-06,3225.0,0.0,3225.0,3225.0,0.0,3225.0,USD,1.0,Paid,purchase,,non_capital,0,Grand Venture Technology,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,,Not Specified
1940,PO05939,2021-09-03 23:49:17.000000,2021-10-03 23:49:17.000000,2022-02-11 10:59:38.447029,2021-09-06 23:50:42.000000,2021-10-06,38.91,3.54,35.37,38.91,0.0,38.91,AUD,1.0,Paid,purchase,Order online using trade account,non_capital,0,RS Components Pty Ltd,George Tsoukalas,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,30.0,Expense
3068,PO07067,2022-03-06 23:36:06.000000,2022-04-05 23:36:06.000000,2022-04-05 23:50:25.728344,2022-03-16 23:37:11.000000,2022-04-15,138.58,12.6,125.98,138.58,0.0,138.58,AUD,1.0,Paid,done,,,0,Warren & Brown Technologies (AKA Warren Brown Tools),Tim Affleck,Jamie Ball,Nikki Tang,C004 - NPI,yes,30.0,Expense
1602,PO05601,2021-07-08 23:33:57.000000,2021-07-08 23:33:57.000000,2022-02-11 10:59:38.447029,2021-07-15 23:34:36.000000,2021-07-15,86.0,7.82,78.18,86.0,0.0,86.0,AUD,1.0,Paid,purchase,Buy online,non_capital,0,Core Electronics ,Matt Haines,Jamie Ball,OdooBot,R016 - Engineering - Optical,yes,0.0,Expense
3108,PO07107,2022-03-13 22:37:59.000000,2022-03-13 22:37:59.000000,2022-03-13 22:40:20.194700,2022-03-13 22:38:32.000000,2022-03-13,0.0,0.0,0.0,,0.0,,MYR,,Paid,cancel,,,0,Akribis Systems Sdn Bhd,Jamie Ball,Jamie Ball,Jamie Ball,A018 - Facilities,no,0.0,Expense
823,PO04822,2021-02-10 02:01:33.000000,2021-02-10 02:01:33.000000,2022-02-11 10:59:38.447029,2021-03-05 02:01:50.000000,2021-03-05,1695.2,0.0,1695.2,1695.2,0.0,1695.2,USD,1.0,Paid,purchase,,non_capital,0,SAMTEC ASIA PACIFIC PTE LTD,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,0.0,Not Specified
50,PO04049,2020-07-09 00:36:09.000000,2020-07-09 00:36:09.000000,2022-02-11 10:59:38.447029,2020-07-20 00:37:30.000000,2020-07-20,20.97,0.0,20.97,20.97,0.0,20.97,AUD,1.0,Paid,purchase,Buy Online,non_capital,0,"JLCPCB (JiaLiChuang (HongKong) Co., Limited)",Dominic Chan,Jamie Ball,OdooBot,R014 - Engineering - Electronics,yes,,Not Specified
13,PO04012,2020-07-02 03:52:59.000000,2020-07-02 03:52:59.000000,2022-02-11 10:59:38.447029,2020-07-02 03:53:42.000000,2020-07-02,600.0,0.0,600.0,600.0,0.0,600.0,USD,1.0,Paid,purchase,,non_capital,0,Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,,Not Specified
1319,PO05318,2021-05-21 00:09:20.000000,2021-06-20 00:09:20.000000,2022-02-11 10:59:38.447029,2021-06-11 00:09:52.000000,2021-07-11,26692.21,2426.57,24265.64,26692.2,0.01,26692.2,AUD,1.0,Not Paid,purchase,,non_capital,0,"Mouser Electronics, Inc.",Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
2,PO04001,2020-07-02 00:23:43.000000,2020-07-16 00:23:43.000000,2022-02-11 10:59:38.447029,2020-08-06 00:23:43.000000,2020-08-20,14820.0,0.0,14820.0,14820.0,0.0,14820.0,USD,1.0,Paid,purchase,,non_capital,0,"DJ MODEL & TOOLING CO.,LIMITED",Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,14.0,Not Specified
2857,PO06856,2022-01-24 02:23:54.000000,2022-02-23 02:23:54.000000,2022-02-23 00:44:07.312131,2022-02-07 02:23:54.000000,2022-03-09,220.22,20.02,200.2,220.22,0.0,220.22,AUD,1.0,Paid,done,Order online using trade account,,0,RS Components Pty Ltd,Campbell Carney,Jamie Ball,Anna Bui,R018 - Engineering - PMO,yes,30.0,Expense
2799,PO06798,2022-01-12 00:19:35.000000,2022-01-12 00:19:35.000000,2022-02-11 10:59:38.447029,2022-01-19 00:20:05.000000,2022-01-19,198.16,18.01,180.15,198.16,0.0,198.16,AUD,1.0,Paid,done,Buy online,,0,Sanitiser Solutions Australia,Jamie Ball,Jamie Ball,OdooBot,A018 - Facilities,yes,0.0,Expense
1522,PO05521,2021-06-25 04:40:53.000000,2021-07-25 04:40:53.000000,2022-02-11 10:59:38.447029,2021-06-28 04:41:29.000000,2021-07-28,148.51,13.5,135.01,148.51,0.0,148.51,AUD,1.0,Paid,purchase,Order online using trade account,non_capital,0,RS Components Pty Ltd,Chris Hanton,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,30.0,Not Specified
2140,PO06139,2021-10-05 23:01:37.000000,2021-11-04 23:01:37.000000,2022-02-11 10:59:38.447029,2021-10-06 23:05:58.000000,2021-11-05,60.23,5.48,54.75,43.72,16.51,43.72,AUD,1.0,Not Paid,purchase,Order online using trade account,non_capital,0,Element14 Pty Ltd,George Tsoukalas,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,30.0,Expense
2575,PO06574,2021-11-30 22:58:26.000000,2021-11-30 22:58:26.000000,2022-02-11 10:59:38.447029,2021-12-05 22:58:40.000000,2021-12-05,64.75,5.89,58.86,64.75,0.0,64.75,AUD,1.0,Paid,purchase,,non_capital,0,PROTECTIVE FILM,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,0.0,Expense
1006,PO05005,2021-03-17 02:17:25.000000,2021-03-17 02:17:25.000000,2022-02-11 10:59:38.447029,2021-03-24 02:17:46.000000,2021-03-24,9.28,0.0,9.28,18.56,-9.28,9.28,AUD,2.0,Paid,purchase,Buy online,non_capital,0,EBay,Tim Affleck,Jamie Ball,OdooBot,C004 - NPI,yes,0.0,Not Specified
2742,PO06741,2021-12-23 00:24:01.000000,2021-12-23 00:24:01.000000,2022-02-14 03:02:00.281823,2022-01-20 00:24:01.000000,2022-01-20,596.0,0.0,596.0,596.0,0.0,596.0,USD,1.0,Paid,purchase,,non_capital,0,JC International Resources,Wai Wai Lay,Michael Chang,Denish MAJMUDAR,C006 - Pilot Manufacturing,yes,0.0,Expense
2683,PO06682,2021-12-14 22:54:40.000000,2022-01-13 22:54:40.000000,2022-02-23 00:44:07.312131,2021-12-15 22:56:13.000000,2022-01-14,1485.72,135.07,1350.65,1485.72,0.0,1485.72,AUD,1.0,Paid,purchase,Order online using trade account,non_capital,0,Element14 Pty Ltd,Tim Affleck,Jamie Ball,Anna Bui,C004 - NPI,yes,30.0,Expense
3046,PO07045,2022-03-01 00:34:41.000000,2022-03-01 00:34:41.000000,2022-03-25 04:22:15.131119,2022-03-03 00:36:19.000000,2022-03-03,147.71,11.62,136.09,147.71,0.0,147.71,AUD,1.0,Paid,done,Buy online,,0,Core Electronics ,Campbell Carney,Jamie Ball,Anna Bui,R008 - Engineering - Mechanical,yes,0.0,Expense
453,PO04452,2020-11-25 22:51:16.000000,2020-12-09 22:51:16.000000,2022-02-11 10:59:38.447029,2020-12-27 22:51:16.000000,2021-01-10,35000.0,0.0,35000.0,35000.0,0.0,35000.0,USD,1.0,Paid,purchase,,non_capital,0,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,14.0,Not Specified
182,PO04181,2020-08-19 04:14:29.000000,2020-09-18 04:14:29.000000,2022-02-11 10:59:38.447029,2020-09-18 04:14:59.000000,2020-10-18,55.71,0.0,55.71,55.71,0.0,55.71,USD,1.0,Paid,purchase,,non_capital,0,K-One Industry Sdn Bhd,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
1950,PO05949,2021-09-07 00:45:11.000000,2021-10-07 00:45:11.000000,2022-02-11 10:59:38.447029,2021-09-07 00:54:20.000000,2021-10-07,1099.45,99.95,999.5,1099.45,0.0,1099.45,AUD,1.0,Paid,purchase,,non_capital,0,"Mouser Electronics, Inc.",Gordon Ding,Gordon Ding,OdooBot,C006 - Pilot Manufacturing,yes,30.0,Inventor
528,PO04527,2020-12-09 23:58:59.000000,2021-01-08 23:58:59.000000,2022-02-11 10:59:38.447029,2020-12-16 23:59:21.000000,2021-01-15,110.0,10.0,100.0,110.0,0.0,110.0,AUD,1.0,Paid,purchase,,non_capital,0,Open Wiring Systems,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
1549,PO05548,2021-06-30 23:45:15.000000,2021-07-30 23:45:15.000000,2022-02-11 10:59:38.447029,2021-07-14 23:45:39.000000,2021-08-13,1370.0,0.0,1370.0,1370.0,0.0,1370.0,USD,1.0,Paid,purchase,,non_capital,0,"DJ MODEL & TOOLING CO.,LIMITED",Matt Haines,Jamie Ball,OdooBot,R016 - Engineering - Optical,yes,30.0,Not Specified
1474,PO05473,2021-06-21 04:08:05.000000,2021-07-21 04:08:05.000000,2022-02-11 10:59:38.447029,2021-07-19 04:08:05.000000,2021-08-18,6802.0,0.0,6802.0,6802.0,0.0,6802.0,USD,1.0,Paid,purchase,,non_capital,0,"Dayoptics, Inc. (Use Fujian Dayoptics, Inc after 30 June 2021)",Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,no,30.0,Not Specified
667,PO04666,2021-01-19 03:25:21.000000,2021-02-18 03:25:21.000000,2022-02-11 10:59:38.447029,2021-03-15 03:29:29.000000,2021-04-14,1868.46,169.86,1698.6,1868.47,-0.01,1868.47,AUD,1.0,Paid,purchase,DO36648,non_capital,0,Open Wiring Systems,Daniel Wilkinson-Thompson,Jamie Ball,OdooBot,R014 - Engineering - Electronics,yes,30.0,Not Specified
1613,PO05612,2021-07-12 00:42:20.000000,2021-07-12 00:42:20.000000,2022-02-11 10:59:38.447029,2021-07-19 00:42:57.000000,2021-07-19,145.0,13.18,131.82,145.0,0.0,145.0,AUD,1.0,Paid,purchase,Buy online,non_capital,0,Bunnings Group Limited,Andrew Bligh,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,0.0,Expense
481,PO04480,2020-12-01 00:45:32.000000,2020-12-08 00:45:32.000000,2022-02-11 10:59:38.447029,2020-12-15 00:46:24.000000,2020-12-22,93.5,8.5,85.0,93.5,0.0,93.5,AUD,1.0,Paid,purchase,Quote: 1151,non_capital,0,Aussie Dinkum Calibration,Tim Affleck,Jamie Ball,OdooBot,C004 - NPI,yes,7.0,Not Specified
438,PO04437,2020-11-20 09:00:43.000000,2020-12-20 09:00:43.000000,2022-02-11 10:59:38.447029,2020-11-20 09:00:58.000000,2020-12-20,11990.0,1090.0,10900.0,11990.0,0.0,11990.0,AUD,1.0,Paid,purchase,,non_capital,0,EMC Technologies Pty. Ltd,Andrea Tabacchini,Michael Chang,OdooBot,R016 - Engineering - Optical,yes,30.0,Not Specified
